taxon_id	input	rank
103805	Gyrodactylus teuchis	species
2873768	Cladonia norvegica	species
90069	Solea solea	species
467509	Niphargus schellenbergi	species
120472	Theodoxus fluviatilis	species
55326	Zostera noltei	species
37007	Mullus barbatus	species
48815	Ramonda myconi	species
2766786	Mediocremonas mediterraneus	species
390489	Dugastella valentina	species
638675	Monolistra pretneri	species
2721265	Parastalita stygia	species
1977180	Troglohyphantes excavatus	species
714888	Acanthodactylus schreiberi	species
83244	Spongipellis delectans	species
54556	Alburnus alburnus	species
206126	Spinachia spinachia	species
68724	Canis aureus	species
55152	Pteromys volans	species
146480	Ammodytes marinus	species
446415	Argentina silus	species
6550	Mytilus edulis	species
401953	Aglaophenia octodonta	species
9666	Mustela lutreola	species
2797544	Phaeosaccion multiseriatum	species
185739	Pollachius pollachius	species
151428	Prunus brigantina	species
2072754	Acrobeloides buchneri	species
290746	Acrobeloides nanus	species
96659	Poikilolaimus oxycercus	species
913645	Enchytraeus crypticus	species
438500	Megalothorax minimus	species
465455	Camptopoeum frontale	species
39298	Echinocardium cordatum	species
2691107	Rhogostoma pseudocylindrica	species
1435599	Urtica dioica subsp. dioica	subspecies
344395	Tobrilus gracilis	species
287399	Zygaena transalpina	species
1330250	Podarcis cretensis	species
933932	Silurus aristotelis	species
9997	Spermophilus citellus	species
103942	Vipera ursinii	species
9770	Balaenoptera physalus	species
37541	Buccinum undatum	species
8969	Haliaeetus albicilla	species
494514	Vulpes lagopus	species
8036	Salvelinus alpinus	species
97021	Trifolium dubium	species
1091104	Acanthodactylus beershebensis	species
103936	Bombus monticola	species
1091357	Cryptocephalus barii	species
184182	Primula glaucescens	species
135666	Xylocopa violacea	species
8237	Thunnus thynnus	species
8063	Merluccius merluccius	species
6344	Arenicola marina	species
6230	Emplectonema gracile	species
150782	Astraeus hygrometricus	species
71183	Anaecypris hispanica	species
199168	Corema album	species
136121	Laurus azorica	species
391703	Oenanthe leucura	species
2870711	Trechus terceiranus	species
100182	Lepus granatensis	species
746746	Dianthus callizonus	species
2873937	Nepa anophthalma	species
1813177	Niphargus dancaui	species
2218654	Merodon euri	species
73107	Otis tarda	species
372778	Merodon desuturinus	species
650627	Palingenia longicauda	species
100830	Tetrao urogallus	species
269649	Chionomys nivalis	species
1457097	Leptodirus hochenwarti	species
1453361	Tuber petrophilum	species
85422	Knipowitschia panizzae	species
152555	Tripterygion tripteronotum	species
942649	Phakellia ventilabrum	species
1028563	Venerupis corrugata	species
124134	Andrena vaga	species
30338	Bufotes viridis	species
213953	Parnassius mnemosyne	species
2793624	Stylops ater	species
48745	Mesoplodon bidens	species
2874917	Perca sp. 'yellow fin Alpine'	species
880251	Zingel asper	species
175037	Hottonia palustris	species
1542565	Andrena humilis	species
49289	Carabus intricatus	species
118799	Carabus granulatus	species
185587	Osmia cornuta	species
1566317	Epeorus assimilis	species
114194	Alopecurus aequalis	species
488582	Lasius platythorax	species
27778	Ameiurus nebulosus	species
10034	Cricetus cricetus	species
92525	Asellus aquaticus	species
